018-12-01,20,14,5,1,0,0,3161,0,0,3754,0,0,221
018-12-02,21,16,4,1,0,0,18995,0,0,883,0,0,676
018-12-03,30,26,2,2,0,0,15043,0,0,2348,0,0,299
018-12-04,30,25,4,1,0,0,46669,0,0,6446,0,0,462
018-12-05,30,27,3,0,0,0,30227,0,0,860,0,0,0
018-12-06,30,9,18,3,0,0,125043,0,0,453745,0,0,47525
018-12-07,30,14,14,2,0,0,59234,0,0,203883,0,0,10174
018-12-08,30,8,22,0,0,0,38447,0,0,64994,0,0,0
018-12-09,30,5,24,1,0,0,12626,0,0,50150,0,0,768
018-12-10,30,14,12,4,0,0,68577,0,0,38627,0,0,9405
018-12-11,30,21,8,1,0,0,126497,0,0,11053,0,0,1638
018-12-12,30,16,14,0,0,0,762254,0,0,313283,0,0,0
018-12-13,30,21,9,0,0,0,262557,0,0,15198,0,0,0
018-12-14,30,16,14,0,0,0,22786,0,0,80251,0,0,0
018-12-15,30,13,16,1,0,0,62678,0,0,4853,0,0,323
018-12-16,30,26,3,1,0,0,41149,0,0,4621,0,0,1001
018-12-17,30,24,6,0,0,0,1172647,0,0,16187,0,0,0
018-12-18,30,23,7,0,0,0,109334,0,0,32161,0,0,0
018-12-19,30,18,12,0,0,0,178667,0,0,20521,0,0,0
018-12-20,30,22,7,1,0,0,21134,0,0,2258,0,0,208
018-12-21,30,24,6,0,0,0,21628,0,0,1683,0,0,0
018-12-22,28,18,10,0,0,0,6255,0,0,1676,0,0,0
018-12-23,30,15,13,2,0,0,8632,0,0,3973,0,0,913
018-12-24,30,15,14,1,0,0,128524,0,0,28378,0,0,728
018-12-25,30,24,5,1,0,0,44221,0,0,2106,0,0,107
018-12-26,30,22,7,1,0,0,8969,0,0,4533,0,0,1648
018-12-27,30,24,5,1,0,0,74300,0,0,1728,0,0,260
018-12-28,30,26,4,0,0,0,37650,0,0,2187,0,0,0
018-12-29,30,26,3,1,0,0,20655,0,0,1245,0,0,7855
018-12-30,29,20,9,0,0,0,5630,0,0,1009,0,0,0
018-12-31,20,10,10,0,0,0,14534,0,0,3925,0,0,0
019-12-01,30,9,21,0,0,0,12330,0,0,584334,0,0,0
019-12-02,30,5,23,2,0,0,234291,0,0,1009045,0,0,80864
019-12-03,30,9,21,0,0,0,207056,0,0,561526,0,0,0
019-12-04,30,10,19,1,0,0,102893,0,0,326899,0,0,1655
019-12-05,30,22,8,0,0,0,507817,0,0,203672,0,0,0
019-12-06,30,16,13,1,0,0,109903,0,0,71050,0,0,249
019-12-07,30,18,12,0,0,0,92038,0,0,68341,0,0,0
019-12-08,30,23,6,1,0,0,62796,0,0,11568,0,0,1298
019-12-09,30,19,10,1,0,0,90316,0,0,26602,0,0,38524
019-12-10,30,24,5,1,0,0,201492,0,0,20569,0,0,2359
019-12-11,30,24,6,0,0,0,196521,0,0,23922,0,0,0
019-12-12,30,24,3,3,0,0,1778343,0,0,10610,0,0,69097
019-12-13,30,17,11,2,0,0,38572,0,0,10846,0,0,3408
019-12-14,30,21,9,0,0,0,41856,0,0,25162,0,0,0
019-12-15,30,19,8,3,0,0,86533,0,0,14762,0,0,2788
019-12-16,30,22,8,0,0,0,78433,0,0,13472,0,0,0
019-12-17,30,21,7,2,0,0,40055,0,0,27051,0,0,6264
019-12-18,30,20,10,0,0,0,25665,0,0,21025,0,0,0
019-12-19,30,21,7,2,0,0,98875,0,0,52765,0,0,11392
019-12-20,30,21,8,1,0,0,42099,0,0,18451,0,0,154
019-12-21,30,26,3,1,0,0,61652,0,0,7612,0,0,785
019-12-22,30,25,5,0,0,0,70677,0,0,9567,0,0,0
019-12-23,30,25,5,0,0,0,1304064,0,0,30244,0,0,0
019-12-24,30,18,9,3,0,0,32647,0,0,17793,0,0,1047
019-12-25,30,25,4,1,0,0,479062,0,0,7734,0,0,4760
019-12-26,30,21,8,1,0,0,34564,0,0,25050,0,0,108
019-12-27,30,25,5,0,0,0,48064,0,0,6991,0,0,0
019-12-28,30,22,8,0,0,0,31198,0,0,12283,0,0,0
019-12-29,30,20,10,0,0,0,27749,0,0,30625,0,0,0
019-12-30,30,24,4,2,0,0,105712,0,0,4929,0,0,4439
019-12-31,30,25,4,1,0,0,55140,0,0,14006,0,0,9647
